,iqr-Outlier,iqr-Prob,ifor-Score,ifor-Outlier,ifor-Prob,lof-Score,lof-Outlier,lof-Prob,ocsvm-Score,ocsvm-Outlier,svm-Prob,outlier,actual Outlier
9690,1,Likely an Outlier,0.12573347326200568,1,Likely an Outlier,0.9707965856840095,1,Likely no Outlier,9.975241663668804,1,Likely an Outlier,1, an Outlier
9689,1,Likely an Outlier,0.10975136139609454,1,Likely an Outlier,1.0908632162261074,1,Maybe Outlier,9.975273528194519,1,Likely an Outlier,1, an Outlier
9688,1,Likely an Outlier,0.06894708312660391,1,Maybe Outlier,2.116383670209808,-1,Likely an Outlier,9.975289315203092,1,Likely an Outlier,1, an Outlier
9687,1,Likely an Outlier,0.09391552536475967,1,Maybe Outlier,0.9793806920731949,1,Likely no Outlier,9.975340265672926,1,Likely an Outlier,1, an Outlier
9686,1,Likely an Outlier,0.10697566671415754,1,Likely an Outlier,1.027256652144726,1,Maybe Outlier,9.97537075766231,1,Likely an Outlier,1, an Outlier
9685,1,Likely an Outlier,0.12776774272427932,1,Likely an Outlier,1.0286513111714735,1,Maybe Outlier,9.97540498101598,1,Likely an Outlier,1, an Outlier
9684,1,Likely an Outlier,-0.032208738010598204,-1,Maybe Outlier,0.9973628600731654,1,Likely no Outlier,9.975436838301828,1,Likely an Outlier,-1, no Outlier
9683,1,Likely an Outlier,0.10452877398176585,1,Likely an Outlier,0.9665158360388487,1,Likely no Outlier,9.975468172707957,1,Likely an Outlier,1, an Outlier
9682,1,Likely an Outlier,-0.008294856058117306,-1,Maybe Outlier,1.0993791818237486,1,Maybe Outlier,9.975499915919793,1,Likely an Outlier,-1, no Outlier
9681,1,Likely an Outlier,0.09804447637799008,1,Maybe Outlier,1.055731219382182,1,Maybe Outlier,9.97553171939579,1,Likely an Outlier,1, an Outlier
9680,1,Likely an Outlier,0.10244254485783233,1,Likely an Outlier,0.9863452168646288,1,Likely no Outlier,9.975558918790508,1,Likely an Outlier,1, an Outlier
9679,1,Likely an Outlier,0.09830747263995165,1,Maybe Outlier,1.012092455137815,1,Maybe Outlier,9.975591757153754,1,Likely an Outlier,1, an Outlier
9678,1,Likely an Outlier,0.1315884151045396,1,Likely an Outlier,1.0055804588916408,1,Maybe Outlier,9.975625470145607,1,Likely an Outlier,1, an Outlier
9677,1,Likely an Outlier,0.13254036942146818,1,Likely an Outlier,0.9812326263236837,1,Likely no Outlier,9.97565647624392,1,Likely an Outlier,1, an Outlier
9676,1,Likely an Outlier,0.12793698500048778,1,Likely an Outlier,1.0338705005894866,1,Maybe Outlier,9.975686169791617,1,Likely an Outlier,1, an Outlier
9675,1,Likely an Outlier,0.13083250589655382,1,Likely an Outlier,1.0807420588818455,1,Maybe Outlier,9.97571811303819,1,Likely an Outlier,1, an Outlier
9674,1,Likely an Outlier,0.049865240939209854,1,Maybe Outlier,1.2660355905355765,1,Likely an Outlier,9.975721741316038,1,Likely an Outlier,1, an Outlier
9673,1,Likely an Outlier,0.1079735775460875,1,Likely an Outlier,1.0260970971043097,1,Maybe Outlier,9.975777546096829,1,Likely an Outlier,1, an Outlier
